Name,Price,Change,Volume,Market Cap,Date,Time
Ford Motor Company,13.26,-0.47,116.697M,53.05,07/30/23,17:48PM 
NIO Inc.,14.74,+1.50,115.316M,26.217,07/30/23,17:48PM 
"Tesla, Inc.",266.44,+10.73,111.446M,844.482,07/30/23,17:48PM 
Palantir Technologies Inc.,17.81,+1.66,106.126M,37.729,07/30/23,17:48PM 
Intel Corporation,36.83,+2.28,90.863M,154.199,07/30/23,17:48PM 
"Lucid Group, Inc.",7.47,+0.58,68.241M,16.983,07/30/23,17:48PM 
"Roku, Inc.",89.61,+21.42,61.302M,12.616,07/30/23,17:48PM 
XPeng Inc.,23.39,+3.17,59.55M,21.934,07/30/23,17:48PM 
"SoFi Technologies, Inc.",9.55,+0.46,58.205M,8.986,07/30/23,17:48PM 
"Advanced Micro Devices, Inc.",112.96,+1.86,55.526M,181.906,07/30/23,17:48PM 
AT&T Inc.,14.45,-0.06,51.421M,103.303,07/30/23,17:48PM 
Snap Inc.,10.68,+0.35,49.135M,17.107,07/30/23,17:48PM 
"Rivian Automotive, Inc.",26.94,+0.89,48.754M,25.306,07/30/23,17:48PM 
Apple Inc.,195.83,+2.61,48.291M,3.08,07/30/23,17:48PM 
"Amazon.com, Inc.",132.21,+3.96,46.317M,1.357,07/30/23,17:48PM 
QuantumScape Corporation,13.27,+2.56,43.679M,5.887,07/30/23,17:48PM 
"Meta Platforms, Inc.",325.48,+13.77,39.22M,834.117,07/30/23,17:48PM 
Alphabet Inc.,132.58,+3.18,36.591M,1.686,07/30/23,17:48PM 
Bank of America Corporation,31.90,-0.05,33.297M,253.719,07/30/23,17:48PM 
NVIDIA Corporation,467.50,+8.50,33.119M,1.155,07/30/23,17:48PM 
Alibaba Group Holding Limited,100.55,+5.11,31.957M,257.659,07/30/23,17:48PM 
Vale S.A.,14.24,-0.55,31.63M,61.776,07/30/23,17:48PM 
Verizon Communications Inc.,34.03,+0.48,30.651M,143.062,07/30/23,17:48PM 
Microsoft Corporation,338.37,+7.65,28.485M,2.516,07/30/23,17:48PM 
"Cisco Systems, Inc.",52.09,-0.91,27.493M,212.27,07/30/23,17:48PM 
Alphabet Inc.,133.01,+3.14,26.971M,1.686,07/30/23,17:48PM 
Banco Bradesco S.A.,3.4900,+0.0600,26.375M,37.084,07/30/23,17:48PM 
"iQIYI, Inc.",6.32,+0.74,26.298M,6.046,07/30/23,17:48PM 
DiDi Global Inc.,3.8600,+0.4100,26.063M,18.503,07/30/23,17:48PM 
TAL Education Group,8.00,+1.57,25.69M,5.108,07/30/23,17:48PM 
Opendoor Technologies Inc.,4.8400,+0.5900,24.979M,3.14,07/30/23,17:48PM 
"AMC Entertainment Holdings, Inc.",4.6400,+0.1200,24.813M,4.006,07/30/23,17:48PM 
Carnival Corporation & plc,18.49,+0.27,24.508M,24.149,07/30/23,17:48PM 
Pfizer Inc.,36.07,-0.13,24.054M,203.626,07/30/23,17:48PM 
Carvana Co.,44.02,+3.56,23.759M,7.818,07/30/23,17:48PM 
"Avantor, Inc.",21.28,-1.55,23.104M,14.366,07/30/23,17:48PM 
"Marathon Digital Holdings, Inc.",16.70,+0.73,21.421M,2.838,07/30/23,17:48PM 
Citigroup Inc.,47.41,-0.47,20.881M,91.297,07/30/23,17:48PM 
"Ginkgo Bioworks Holdings, Inc.",2.4400,+0.2000,20.809M,5.089,07/30/23,17:48PM 
Comcast Corporation,45.23,-0.12,20.669M,188.556,07/30/23,17:48PM 
